symbol,event,direction,role,event_date,bar_index,impl
TRI,BC,DOWN,ENTRY,2025-07-14,386,kapman_v0_handwritten_structural
TSLA,SOS,UP,ENTRY,2024-12-16,245,kapman_v0_handwritten_structural
TSLA,BC,DOWN,ENTRY,2025-09-12,429,kapman_v0_handwritten_structural
TSM,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
TWLO,SOS,UP,ENTRY,2025-01-27,271,kapman_v0_handwritten_structural
TWLO,BC,DOWN,ENTRY,2025-10-31,464,kapman_v0_handwritten_structural
UEC,SPRING,UP,ENTRY,2024-01-30,23,kapman_v0_handwritten_structural
UEC,SOW,DOWN,ENTRY,2024-03-01,45,kapman_v0_handwritten_structural
UEC,SC,NA,IGNORE,2024-11-18,226,kapman_v0_handwritten_structural
UEC,AR,NA,IGNORE,2024-12-05,238,kapman_v0_handwritten_structural
UEC,BC,DOWN,ENTRY,2025-09-15,430,kapman_v0_handwritten_structural
UEC,SOS,UP,ENTRY,2025-09-22,435,kapman_v0_handwritten_structural
UMAC,SOS,UP,ENTRY,2024-11-29,200,kapman_v0_handwritten_structural
UMAC,BC,DOWN,ENTRY,2025-09-30,407,kapman_v0_handwritten_structural
URA,BC,DOWN,ENTRY,2025-10-14,451,kapman_v0_handwritten_structural
URAN,BC,DOWN,ENTRY,2025-09-15,243,kapman_v0_handwritten_structural
URAN,SOS,UP,ENTRY,2025-09-19,247,kapman_v0_handwritten_structural
UUUU,BC,DOWN,ENTRY,2025-10-14,451,kapman_v0_handwritten_structural
VRT,BC,DOWN,ENTRY,2025-10-01,442,kapman_v0_handwritten_structural
VRT,SOS,UP,ENTRY,2025-10-13,450,kapman_v0_handwritten_structural
VST,BC,DOWN,ENTRY,2025-08-07,404,kapman_v0_handwritten_structural
WDAY,SOS,UP,ENTRY,2024-02-27,42,kapman_v0_handwritten_structural
WDAY,SPRING,UP,ENTRY,2024-05-31,108,kapman_v0_handwritten_structural
WDAY,SOW,DOWN,ENTRY,2024-08-05,152,kapman_v0_handwritten_structural
WDAY,BC,DOWN,ENTRY,2025-02-24,290,kapman_v0_handwritten_structural
WDAY,SC,NA,IGNORE,2025-08-22,415,kapman_v0_handwritten_structural
WDAY,AR,NA,IGNORE,2025-09-17,432,kapman_v0_handwritten_structural
ZM,SPRING,UP,ENTRY,2024-02-07,29,kapman_v0_handwritten_structural
ZM,SC,NA,IGNORE,2024-02-27,42,kapman_v0_handwritten_structural
ZM,AR,NA,IGNORE,2024-02-28,43,kapman_v0_handwritten_structural
ZM,SOW,DOWN,ENTRY,2024-05-03,89,kapman_v0_handwritten_structural
ZM,SOS,UP,ENTRY,2024-11-11,221,kapman_v0_handwritten_structural
ZM,BC,DOWN,ENTRY,2025-08-22,415,kapman_v0_handwritten_structural
ZS,SOW,DOWN,ENTRY,2024-05-28,105,kapman_v0_handwritten_structural
ZS,SC,NA,IGNORE,2025-04-07,320,kapman_v0_handwritten_structural
ZS,AR,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
