date,symbol,event,prior_regime,base_event,detector,fwd_5,fwd_10,fwd_20
2024-10-09,LVRO,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.06525000000000003,0.02750000000000008,0.2124999999999999
2025-05-02,LVRO,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.1284722222222222,-0.1684027777777778,-0.1527777777777778
2025-10-23,LVS,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.03621023026893999,0.10370891193531384,0.11583758129724031
2025-09-08,LVWR,BC:UNKNOWN,UNKNOWN,BC,contextual,0.17594654788418707,0.1358574610244987,0.11135857461024501
2024-03-07,LW,SOS:UNKNOWN,UNKNOWN,SOS,contextual,0.01604331695578054,0.03018149002306214,-0.2000401082923895
2025-02-24,LW,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual,-0.0434117422069229,0.0034423407917383297,0.031363549435838634
2025-07-22,LW,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.2092739475289811,0.08114704087858438,0.12060199308521447
2025-10-01,LW,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.03241412675374944,0.031769069504918646,0.018867924528301883
2024-02-21,LWAY,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.11406844106463887,0.13307984790874539,0.290874524714829
2025-08-12,LWAY,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.036949152542372854,0.04915254237288136,0.09423728813559329
2024-04-26,LWLG,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.0620155038759691,0.012919896640826822,-0.11111111111111116
2025-08-26,LWLG,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.024922118380062308,-0.052959501557632405,0.3052959501557633
2025-03-19,LX,BC:UNKNOWN,UNKNOWN,BC,contextual,0.006499535747446661,-0.03435468895078919,-0.34168987929433614
2024-03-07,LXEH,SOS:UNKNOWN,UNKNOWN,SOS,contextual,0.0323809523809524,-0.8590476190476191,-0.9287619047619048
2025-07-31,LXEH,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.15094339622641506,-0.4056603773584906,-0.0660377358490567
2024-05-09,LXEO,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.03310344827586209,0.06758620689655181,0.18965517241379315
2025-03-24,LXEO,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.15158924205378965,-0.5623471882640587,-0.1638141809290954
2024-10-30,LXFR,BC:UNKNOWN,UNKNOWN,BC,contextual,0.026045236463331012,0.020562028786840436,0.014393420150788261
2024-03-11,LXRX,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.10320284697508897,-0.24555160142348753,-0.2633451957295374
2025-03-28,LXRX,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.2657318141980719,-0.10289219982471509,0.20595968448729174
2025-10-09,LXRX,BC:MARKDOWN,MARKDOWN,BC,contextual,-0.10365853658536583,-0.14634146341463417,-0.12804878048780488
2024-03-06,LXU,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.010943912448700521,0.10259917920656658,0.16142270861833108
2024-04-30,LXU,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual,-0.06774193548387109,-0.01935483870967758,0.038709677419354716
2025-03-28,LXU,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual,-0.17147192716236725,-0.19575113808801214,-0.1062215477996965
2025-10-03,LXU,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.05561735261401557,-0.07786429365962189,-0.06229143492769751
2024-03-04,LYB,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.009836710603974064,-0.01780444619319299,0.02478851072201471
2025-08-04,LYB,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.050294695481335805,0.04027504911591362,0.09705304518664049
2025-12-04,LYEL,BC:NONE,NONE,BC,contextual,0.3122545168892379,0.2717989002356638,
2025-12-04,LYEL,BC:NONE,NONE,BC,contextual,0.3122545168892379,0.2717989002356638,
2025-12-22,LYEL,SOS:NONE,NONE,SOS,contextual,,,
2025-12-22,LYEL,SOS:NONE,NONE,SOS,contextual,,,
2024-02-02,LYFT,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.0219607843137255,0.40470588235294125,0.3396078431372547
2024-04-17,LYFT,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.05603697284806464,-0.08376660889659149,-0.013287117273252491
2024-07-25,LYFT,SOW:MARKUP,MARKUP,SOW,contextual,-0.06470106470106474,-0.17526617526617527,-0.06060606060606066
2025-08-15,LYFT,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.0752212389380531,0.025284450063211006,0.2920353982300885
2024-02-26,LYG,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.04888888888888876,0.11111111111111116,0.14666666666666672
2024-03-20,LYG,SOW:MARKDOWN,MARKDOWN,SOW,contextual,0.031372549019607954,0.04313725490196085,-0.015686274509803977
2025-01-14,LYG,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual,0.13584905660377355,0.15471698113207544,0.20000000000000018
2025-08-01,LYG,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.00917431192660545,0.0366972477064218,-0.00917431192660556
2025-04-09,LYRA,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,-0.023354564755838747,0.052016985138004124,0.002123142250530785
2025-04-15,LYRA,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.00433839479392617,0.2885032537960954,0.21149674620390435
2025-06-02,LYRA,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual,-0.0906172839506173,-0.4404938271604938,-0.5607407407407408
2025-10-06,LYRA,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.021013597033374576,-0.15945611866501852,-0.2892459826946848
2024-02-08,LYTS,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.043509789702683266,0.044960116026105945,0.036983321247280765
2025-01-23,LYTS,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual,-0.14482200647249188,-0.14320388349514557,-0.2208737864077669
2025-08-22,LYTS,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.03085376162299236,0.007185122569737912,0.0021132713440406015
2024-04-15,LYV,SOW:UNKNOWN,UNKNOWN,SOW,contextual,-0.1134609602084794,-0.09251277939260294,-0.04189636163175292
2024-11-06,LYV,BC:MARKDOWN,MARKDOWN,BC,contextual,0.008175252004127387,0.08349869037225166,0.06889435669497579
2024-11-18,LYV,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.059879336349924595,0.03582202111613886,0.03966817496229269
2025-03-31,LYV,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual,-0.08691989584928783,-0.016694746515546033,0.01317200183795375
2024-02-26,LZ,SOS:UNKNOWN,UNKNOWN,SOS,contextual,0.12891986062717775,0.17682926829268286,0.1297909407665505
2024-04-29,LZ,SOS:MARKUP,MARKUP,SOS,contextual,-0.009860312243220926,-0.19884963023829083,-0.2982744453574364
2025-01-27,LZ,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.015555555555555656,0.02444444444444449,0.0
2025-11-06,LZB,SOW:NONE,NONE,SOW,contextual,-0.011549566891241647,0.16650625601539937,0.23933269169072835
2025-11-06,LZB,SOW:NONE,NONE,SOW,contextual,-0.011549566891241647,0.16650625601539937,0.23933269169072835
2025-11-18,LZB,SPRING:NONE,NONE,SPRING,contextual,0.32882730652247383,0.35011828320378524,0.33457249070631967
2025-11-18,LZB,SPRING:NONE,NONE,SPRING,contextual,0.32882730652247383,0.35011828320378524,0.33457249070631967
2025-11-19,LZB,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.11104863649142538,0.0950238965420298,0.09895979758223228
2025-11-19,LZB,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.11104863649142538,0.0950238965420298,0.09895979758223228
2024-02-29,LZM,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual,0.3484251968503935,0.5098425196850394,0.5098425196850394
2024-03-14,LZM,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.03389830508474567,0.0,-0.00782268578878742
2024-08-30,LZM,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual,-0.06493506493506496,0.043831168831168776,0.13636363636363624
2025-02-11,LZM,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.056198347107437985,-0.11074380165289255,-0.2396694214876034
2025-09-05,LZM,BC:MARKDOWN,MARKDOWN,BC,contextual,0.0021739130434783593,0.13478260869565228,0.1826086956521742
