dataset,detector,event_type,horizon,metric,benchmark,prod,delta,missing_in,start_date,end_date,git_sha,run_timestamp
contextual,contextual,SPRING:MARKDOWN,10,median,,0.0297432686286787,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKDOWN,20,median,,0.044137591810864255,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKUP,5,median,,0.023259156650247352,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKUP,10,median,,0.043716322107948805,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKUP,20,median,,0.05261905732968995,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:NONE,5,median,,0.02933961046055425,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:NONE,10,median,,0.0152779410036432,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:NONE,20,median,,0.03060158232572025,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:UNKNOWN,5,median,,0.02288560320749615,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:UNKNOWN,10,median,,0.031834259727135,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:UNKNOWN,20,median,,0.0505166475315728,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
