dataset,detector,event_type,horizon,metric,benchmark,prod,delta,missing_in,start_date,end_date,git_sha,run_timestamp
contextual,contextual,SPRING:ACCUMULATION,5,win_rate,,0.6422535211267606,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:ACCUMULATION,10,win_rate,,0.65625,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:ACCUMULATION,20,win_rate,,0.641399416909621,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:DISTRIBUTION,5,win_rate,,0.6421052631578947,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:DISTRIBUTION,10,win_rate,,0.6736842105263158,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:DISTRIBUTION,20,win_rate,,0.7183098591549296,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKDOWN,5,win_rate,,0.7007299270072993,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKDOWN,10,win_rate,,0.6894031668696712,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKDOWN,20,win_rate,,0.7036585365853658,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKUP,5,win_rate,,0.6785714285714286,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKUP,10,win_rate,,0.75,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:MARKUP,20,win_rate,,0.7142857142857143,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:NONE,5,win_rate,,0.6509433962264151,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:NONE,10,win_rate,,0.6060606060606061,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:NONE,20,win_rate,,0.6621621621621622,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:UNKNOWN,5,win_rate,,0.7551319648093842,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:UNKNOWN,10,win_rate,,0.7797356828193832,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SPRING:UNKNOWN,20,win_rate,,0.762114537444934,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
