symbol,date,event,prior_regime,base_event,detector
DMAY,2024-03-20,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DMAY,2025-05-19,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
DMAY,2025-09-02,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DMCY,2024-08-06,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DMCY,2025-01-14,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DMCY,2025-10-21,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DMRC,2025-01-03,BC:UNKNOWN,UNKNOWN,BC,contextual
DMXF,2024-02-20,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DMXF,2024-04-15,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DMXF,2025-09-16,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DMXF,2025-11-13,SOS:NONE,NONE,SOS,contextual
DMXF,2025-11-13,SOS:NONE,NONE,SOS,contextual
DNA,2024-12-04,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DNA,2025-06-11,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DNLI,2024-02-27,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DNLI,2024-06-27,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DNLI,2025-12-04,BC:NONE,NONE,BC,contextual
DNLI,2025-12-04,BC:NONE,NONE,BC,contextual
DNN,2024-03-01,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DNN,2025-06-16,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DNOV,2025-11-21,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DNOV,2025-11-21,BC:NONE,NONE,BC,contextual
DNOW,2024-02-15,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DNTH,2025-11-14,BC:NONE,NONE,BC,contextual
DNTH,2025-11-14,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DNUT,2024-03-13,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DNUT,2025-05-08,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
DNUT,2025-10-21,BC:MARKDOWN,MARKDOWN,BC,contextual
DOC,2024-02-28,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DOC,2024-03-15,SOW:MARKDOWN,MARKDOWN,SOW,contextual
DOC,2024-07-26,BC:MARKDOWN,MARKDOWN,BC,contextual
DOC,2024-10-15,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DOC,2025-04-09,SPRING:MARKUP,MARKUP,SPRING,contextual
DOCN,2025-11-05,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DOCN,2025-11-05,BC:NONE,NONE,BC,contextual
DOCS,2025-02-07,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DOCS,2025-08-08,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DOCT,2024-04-04,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DOCU,2024-12-06,BC:UNKNOWN,UNKNOWN,BC,contextual
DOG,2024-03-14,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DOG,2025-11-20,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DOG,2025-11-20,BC:NONE,NONE,BC,contextual
DOGD,2025-11-06,BC:NONE,NONE,BC,contextual
DOGD,2025-11-06,BC:NONE,NONE,BC,contextual
DOGZ,2024-08-26,BC:UNKNOWN,UNKNOWN,BC,contextual
DOGZ,2024-09-12,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DOL,2024-03-20,BC:UNKNOWN,UNKNOWN,BC,contextual
DOL,2024-05-23,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DOLE,2025-05-12,BC:UNKNOWN,UNKNOWN,BC,contextual
DOMH,2025-02-13,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DOMH,2025-08-12,BC:MARKUP,MARKUP,BC,contextual
DOMO,2025-05-22,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DOMO,2025-07-18,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DON,2024-11-21,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DON,2025-07-01,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DORM,2024-02-27,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DORM,2024-03-27,SOW:MARKDOWN,MARKDOWN,SOW,contextual
DORM,2025-05-06,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
DORM,2025-08-05,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DORM,2025-08-12,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DOUG,2024-05-15,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DOUG,2024-07-26,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DOUG,2025-05-23,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DOV,2024-07-16,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DOV,2025-10-23,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DOW,2024-03-04,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DOW,2025-07-01,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DOW,2025-07-25,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual
DOW,2025-10-07,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DOX,2024-04-16,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DOX,2024-11-13,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DOYU,2024-03-15,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DOYU,2024-05-02,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DOYU,2025-07-15,BC:MARKUP,MARKUP,BC,contextual
DOYU,2025-07-15,SPRING:MARKUP,MARKUP,SPRING,contextual
DPRO,2025-09-26,BC:UNKNOWN,UNKNOWN,BC,contextual
DPRO,2025-10-09,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DPST,2024-11-06,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DPST,2025-08-22,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DPZ,2024-04-03,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DPZ,2025-02-24,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DQ,2024-02-05,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DQ,2024-04-30,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DQ,2025-10-31,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DRAI,2025-07-14,BC:UNKNOWN,UNKNOWN,BC,contextual
DRAI,2025-07-29,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DRCT,2024-02-27,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DRCT,2024-03-06,SOS:MARKUP,MARKUP,SOS,contextual
DRCT,2025-03-27,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DRD,2024-03-01,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DRD,2025-09-19,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DRD,2025-10-17,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DRDB,2025-10-14,BC:UNKNOWN,UNKNOWN,BC,contextual
DRH,2024-12-03,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DRH,2025-03-31,SPRING:MARKUP,MARKUP,SPRING,contextual
DRH,2025-04-03,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DRH,2025-11-10,BC:NONE,NONE,BC,contextual
DRH,2025-11-10,BC:NONE,NONE,BC,contextual
DRI,2024-03-04,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DRI,2025-02-03,SOS:MARKDOWN,MARKDOWN,SOS,contextual
DRI,2025-12-17,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DRI,2025-12-17,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DRIO,2025-08-12,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DRIO,2025-09-25,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DRIP,2024-05-01,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DRIP,2025-11-20,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DRIP,2025-11-20,BC:NONE,NONE,BC,contextual
DRIV,2025-04-04,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DRIV,2025-10-01,BC:MARKDOWN,MARKDOWN,BC,contextual
DRLL,2024-04-11,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DRLL,2024-10-01,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DRS,2025-05-01,BC:UNKNOWN,UNKNOWN,BC,contextual
DRS,2025-06-16,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DRSK,2024-03-01,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DRTS,2025-12-10,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DRTS,2025-12-10,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DRTS,2025-12-15,SOS:NONE,NONE,SOS,contextual
DRTS,2025-12-15,SOS:MARKUP,MARKUP,SOS,contextual
DRUG,2025-09-18,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DRUG,2025-10-13,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DRV,2024-02-28,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DRV,2024-03-01,SOS:MARKUP,MARKUP,SOS,contextual
DRV,2024-10-21,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
