symbol,date,transition,prior_regime,new_regime,detector,event
FET,2024-11-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FEZ,2025-09-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FF,2024-05-28,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FFDI,2025-02-26,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FFIV,2024-10-28,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FFIV,2025-07-31,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
FFOG,2025-04-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FFWM,2025-07-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FG,2025-04-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FGBI,2024-06-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FGEN,2025-08-18,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
FGEN,2025-08-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FGI,2024-08-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FGI,2025-05-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FHB,2024-11-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FHI,2025-09-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FHN,2024-12-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FICO,2024-08-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FIDI,2025-06-23,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FIG,2025-08-18,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FIHL,2024-08-15,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FIHL,2025-02-20,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
FIHL,2025-06-16,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FIIG,2025-08-27,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FINV,2025-02-18,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FIP,2024-03-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FIP,2024-04-03,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
FISR,2025-10-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FITB,2024-10-15,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
FITB,2024-10-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FITB,2025-04-04,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
FIW,2025-09-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FIXT,2024-07-01,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FIZZ,2024-12-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FKU,2025-09-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLAU,2024-12-30,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FLBR,2024-06-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLCC,2025-03-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLCH,2025-03-05,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLD,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLDB,2025-04-24,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FLDZ,2025-04-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLEE,2024-07-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FLGB,2024-08-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FLGC,2025-02-27,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLL,2024-11-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLMI,2024-12-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLNC,2024-04-23,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
FLNG,2024-11-13,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FLO,2025-03-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FLQL,2025-01-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLQM,2025-07-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLR,2024-10-16,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP
FLR,2024-11-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLR,2025-04-04,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN
FLSA,2024-05-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLTR,2024-11-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLUT,2024-08-13,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION
FLUT,2025-07-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLUX,2024-05-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLWS,2025-02-26,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLX,2025-03-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLXS,2025-06-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
FLYW,2024-05-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION
