symbol,date,event,score,detector,start_date,end_date,git_sha,run_timestamp
ABP,2025-04-04,UT,0.3377878752262587,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABP,2025-07-23,BC,2.017339311653702,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABP,2025-07-24,AR_TOP,1.2337281603600032,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABP,2025-07-25,SOS,1.7866701609937372,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABR,2024-02-06,UT,,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABR,2024-04-23,SOS,1.6829066053615265,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABR,2025-07-22,BC,2.1993605875192253,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABR,2025-07-30,AR_TOP,1.2663027646610705,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABSI,2024-02-20,UT,,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABSI,2024-03-04,SOS,3.946907691752914,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABSI,2024-06-17,SOW,2.6646656239921414,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABSI,2024-09-10,SPRING,2.132660774352022,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABSI,2024-12-10,SC,4.253292718600594,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABSI,2024-12-11,AR,2.700126737630289,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABSI,2025-10-15,BC,3.615557917203447,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
