impl,event,direction,role,horizon,mean_ret_dir,median_ret_dir,win_rate,mae_mean_dir,signal_count,ret_p25,ret_p75,composite_rank,symbols_processed,symbols_scored,symbols_failed,bars_evaluated
kapman_v0_chatgpt_wyckoff_core,SOS,UP,ENTRY,10,0.03807117208569381,0.023727354859497618,0.6386138613861386,-0.04297728175529189,202,-0.02389733755226045,0.0715155888875918,17.333333333333332,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,SOS,UP,ENTRY,20,0.06790789448800504,0.03194213028812953,0.681592039800995,-0.0646160467106314,201,-0.02984917202826709,0.0985759111754767,17.333333333333332,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,SOS,UP,ENTRY,40,0.07138273898588106,0.0204297104891068,0.5555555555555556,-0.09995965957446229,198,-0.07723859849039696,0.11858919643130678,31.0,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,ST,DOWN,ENTRY,5,0.05682665553405624,-0.010020175562441669,0.4243421052631579,-0.04286430708792552,304,-0.0463090283659168,0.0350426314386007,31.0,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,ST,DOWN,ENTRY,10,0.03480069250763782,-0.03136542916171037,0.36633663366336633,-0.06954008503468359,303,-0.07636371944414383,0.03148761867777139,43.666666666666664,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,ST,DOWN,ENTRY,20,0.020211931684061175,-0.05582290664100098,0.33663366336633666,-0.11221097280388305,303,-0.11635600328932533,0.030869961242454225,51.333333333333336,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,ST,DOWN,ENTRY,40,0.00823226996306291,-0.08585206073996438,0.3159722222222222,-0.17614065978019997,288,-0.1992261957975376,0.04430748308264626,61.0,97,97,0,47519
kapman_v0_claude,BC,DOWN,ENTRY,5,0.002990749125226292,0.004389918789391767,0.5207373271889401,-0.07536723853496086,434,-0.05731106487029172,0.061773446284694944,42.333333333333336,97,97,0,47519
kapman_v0_claude,BC,DOWN,ENTRY,10,-0.025550943074909283,-0.01930654058313641,0.43155452436194897,-0.1185743809566771,431,-0.10813723777512835,0.06121043596321174,58.666666666666664,97,97,0,47519
kapman_v0_claude,BC,DOWN,ENTRY,20,-0.02090705027161178,-0.0234375,0.43123543123543123,-0.17857526789921946,429,-0.17138223103261863,0.11602729340409401,63.333333333333336,97,97,0,47519
kapman_v0_claude,BC,DOWN,ENTRY,40,0.017925805587781864,0.004162747026131064,0.5048076923076923,-0.23656027045730457,416,-0.18573462318126271,0.16361844081024274,50.666666666666664,97,97,0,47519
kapman_v0_claude,SOS,UP,ENTRY,5,0.012241799370732179,0.003764182909309688,0.5377906976744186,-0.04493670099509914,344,-0.03661410943587831,0.04176763269151429,31.666666666666668,97,97,0,47519
kapman_v0_claude,SOS,UP,ENTRY,10,0.0371233387220177,0.019077871206192643,0.5872093023255814,-0.06194338999499736,344,-0.03780185414826412,0.07503090914175303,24.333333333333332,97,97,0,47519
kapman_v0_claude,SOS,UP,ENTRY,20,0.10115564158261638,0.035339715079554246,0.6081871345029239,-0.0846633719481674,342,-0.04737338965876553,0.12212345263290797,20.666666666666668,97,97,0,47519
