symbol,event_date,event,direction,role
AFCG,2025-08-27,AR,NA,IGNORE
AFCG,2025-12-12,BC,DOWN,ENTRY
AFIF,2024-04-25,SOW,DOWN,ENTRY
AFIF,2024-10-17,SC,NA,IGNORE
AFIF,2024-10-18,AR,NA,IGNORE
AFJK,2025-12-09,BC,DOWN,ENTRY
AFL,2024-04-11,SOW,DOWN,ENTRY
AFL,2024-05-02,SC,NA,IGNORE
AFL,2024-05-15,AR,NA,IGNORE
AFLG,2025-10-14,BC,DOWN,ENTRY
AFMC,2024-07-31,BC,DOWN,ENTRY
AFMC,2024-10-21,SOS,UP,ENTRY
AFRI,2024-05-16,SOS,UP,ENTRY
AFRI,2025-12-04,BC,DOWN,ENTRY
AFRM,2024-01-29,SPRING,UP,ENTRY
AFRM,2024-03-14,SOW,DOWN,ENTRY
AFRM,2024-11-08,SC,NA,IGNORE
AFRM,2024-11-11,AR,NA,IGNORE
AFRM,2025-12-16,BC,DOWN,ENTRY
AFSM,2024-07-16,BC,DOWN,ENTRY
AFSM,2024-11-06,SOS,UP,ENTRY
AFSM,2025-04-09,SC,NA,IGNORE
AFYA,2024-03-14,SOS,UP,ENTRY
AFYA,2025-05-12,BC,DOWN,ENTRY
AFYA,2025-12-22,SC,NA,IGNORE
AG,2025-09-22,BC,DOWN,ENTRY
AG,2025-10-06,SOS,UP,ENTRY
AGAE,2024-05-24,SC,NA,IGNORE
AGAE,2024-06-11,AR,NA,IGNORE
AGAE,2025-05-28,BC,DOWN,ENTRY
AGAE,2025-11-10,SOW,DOWN,ENTRY
AGCO,2024-04-10,SOS,UP,ENTRY
AGCO,2025-04-09,SC,NA,IGNORE
AGCO,2025-05-01,AR,NA,IGNORE
AGCO,2025-07-31,BC,DOWN,ENTRY
AGEN,2024-04-12,SOS,UP,ENTRY
AGEN,2024-11-12,SOW,DOWN,ENTRY
AGEN,2025-01-21,SPRING,UP,ENTRY
AGEN,2025-07-11,BC,DOWN,ENTRY
AGEN,2025-10-20,SC,NA,IGNORE
AGEN,2025-11-10,AR,NA,IGNORE
AGG,2024-04-10,SOW,DOWN,ENTRY
AGG,2024-11-07,SC,NA,IGNORE
AGG,2024-11-15,AR,NA,IGNORE
AGGH,2025-04-09,SC,NA,IGNORE
AGGH,2025-04-14,AR,NA,IGNORE
AGGS,2024-08-05,SOS,UP,ENTRY
AGGS,2024-12-30,SC,NA,IGNORE
AGGS,2025-01-17,AR,NA,IGNORE
AGGS,2025-06-30,BC,DOWN,ENTRY
AGGY,2025-04-09,SC,NA,IGNORE
AGGY,2025-04-23,AR,NA,IGNORE
AGI,2025-05-01,SC,NA,IGNORE
AGI,2025-09-02,BC,DOWN,ENTRY
AGI,2025-10-02,SOS,UP,ENTRY
AGIO,2025-08-04,BC,DOWN,ENTRY
AGIX,2025-09-19,BC,DOWN,ENTRY
AGL,2024-02-26,SOS,UP,ENTRY
AGL,2025-01-13,BC,DOWN,ENTRY
AGL,2025-08-05,SC,NA,IGNORE
AGL,2025-08-06,AR,NA,IGNORE
AGM,2024-07-23,SOS,UP,ENTRY
AGM,2025-02-21,BC,DOWN,ENTRY
AGM,2025-04-09,SC,NA,IGNORE
AGM,2025-04-23,AR,NA,IGNORE
AGM,2025-10-06,SOW,DOWN,ENTRY
AGM.A,2025-09-19,SC,NA,IGNORE
AGMH,2024-03-13,SOS,UP,ENTRY
AGMH,2025-04-28,BC,DOWN,ENTRY
AGMI,2025-09-02,BC,DOWN,ENTRY
AGMI,2025-09-15,SOS,UP,ENTRY
AGNC,2024-07-12,SOS,UP,ENTRY
AGNC,2025-04-09,SC,NA,IGNORE
AGNC,2025-04-11,AR,NA,IGNORE
AGNC,2025-09-04,BC,DOWN,ENTRY
AGNCL,2024-03-08,SOW,DOWN,ENTRY
AGNCL,2024-05-24,SPRING,UP,ENTRY
AGNCL,2024-10-17,SOS,UP,ENTRY
AGNCL,2025-09-08,BC,DOWN,ENTRY
AGNCL,2025-11-24,SC,NA,IGNORE
AGNCL,2025-11-25,AR,NA,IGNORE
AGNCO,2025-04-09,SC,NA,IGNORE
AGNCO,2025-04-14,AR,NA,IGNORE
AGNCO,2025-06-20,BC,DOWN,ENTRY
AGNG,2024-12-23,SC,NA,IGNORE
AGNG,2025-10-01,BC,DOWN,ENTRY
AGNG,2025-11-11,SOS,UP,ENTRY
AGO,2024-02-13,SPRING,UP,ENTRY
AGO,2024-02-28,BC,DOWN,ENTRY
AGO,2024-05-08,SOW,DOWN,ENTRY
