symbol,event,direction,role,event_date,bar_index,impl
KJAN,SC,NA,IGNORE,2025-04-04,317,kapman_v0_handwritten_structural
KJAN,AR,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KJAN,BC,DOWN,ENTRY,2025-07-01,376,kapman_v0_handwritten_structural
KJAN,SOS,UP,ENTRY,2025-08-12,405,kapman_v0_handwritten_structural
KJUN,SOW,DOWN,ENTRY,2024-07-31,40,kapman_v0_handwritten_structural
KJUN,SOS,UP,ENTRY,2024-12-10,132,kapman_v0_handwritten_structural
KJUN,SC,NA,IGNORE,2025-01-13,153,kapman_v0_handwritten_structural
KJUN,AR,NA,IGNORE,2025-01-14,154,kapman_v0_handwritten_structural
KJUN,BC,DOWN,ENTRY,2025-02-03,167,kapman_v0_handwritten_structural
KKR,SPRING,UP,ENTRY,2024-02-01,23,kapman_v0_handwritten_structural
KKR,SOS,UP,ENTRY,2024-10-24,207,kapman_v0_handwritten_structural
KKR,SC,NA,IGNORE,2025-04-07,318,kapman_v0_handwritten_structural
KKR,AR,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KKR,BC,DOWN,ENTRY,2025-11-07,467,kapman_v0_handwritten_structural
KLAC,SOS,UP,ENTRY,2024-05-31,106,kapman_v0_handwritten_structural
KLAC,SC,NA,IGNORE,2025-04-07,318,kapman_v0_handwritten_structural
KLAC,BC,DOWN,ENTRY,2025-04-09,320,kapman_v0_handwritten_structural
KLAC,AR,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KLC,SC,NA,IGNORE,2025-08-13,210,kapman_v0_handwritten_structural
KLC,AR,NA,IGNORE,2025-08-22,217,kapman_v0_handwritten_structural
KLC,SOW,DOWN,ENTRY,2025-10-10,251,kapman_v0_handwritten_structural
KLIC,SOW,DOWN,ENTRY,2025-04-03,316,kapman_v0_handwritten_structural
KLIC,SPRING,UP,ENTRY,2025-08-06,401,kapman_v0_handwritten_structural
KLIC,SC,NA,IGNORE,2025-08-07,402,kapman_v0_handwritten_structural
KLIC,AR,NA,IGNORE,2025-08-12,405,kapman_v0_handwritten_structural
KLIP,SC,NA,IGNORE,2024-08-05,150,kapman_v0_handwritten_structural
KLIP,AR,NA,IGNORE,2024-08-06,151,kapman_v0_handwritten_structural
KLIP,SOW,DOWN,ENTRY,2024-11-06,216,kapman_v0_handwritten_structural
KLMN,SC,NA,IGNORE,2025-03-24,68,kapman_v0_handwritten_structural
KLMN,AR,NA,IGNORE,2025-04-09,80,kapman_v0_handwritten_structural
KLMT,SC,NA,IGNORE,2025-04-07,195,kapman_v0_handwritten_structural
KLMT,BC,DOWN,ENTRY,2025-09-26,314,kapman_v0_handwritten_structural
KLMT,SOS,UP,ENTRY,2025-10-02,318,kapman_v0_handwritten_structural
KLTO,BC,DOWN,ENTRY,2025-06-09,181,kapman_v0_handwritten_structural
KLTR,SPRING,UP,ENTRY,2024-06-05,109,kapman_v0_handwritten_structural
KLTR,SOW,DOWN,ENTRY,2024-06-06,110,kapman_v0_handwritten_structural
KLTR,SC,NA,IGNORE,2024-06-11,113,kapman_v0_handwritten_structural
KLTR,AR,NA,IGNORE,2024-06-12,114,kapman_v0_handwritten_structural
KLTR,SOS,UP,ENTRY,2024-11-07,217,kapman_v0_handwritten_structural
KLTR,BC,DOWN,ENTRY,2025-09-10,425,kapman_v0_handwritten_structural
KLXE,SOS,UP,ENTRY,2024-02-26,39,kapman_v0_handwritten_structural
KLXE,SC,NA,IGNORE,2025-02-28,292,kapman_v0_handwritten_structural
KLXE,AR,NA,IGNORE,2025-03-04,294,kapman_v0_handwritten_structural
KLXE,SOW,DOWN,ENTRY,2025-04-04,317,kapman_v0_handwritten_structural
KLXE,BC,DOWN,ENTRY,2025-06-13,365,kapman_v0_handwritten_structural
KLXY,SOS,UP,ENTRY,2024-03-12,50,kapman_v0_handwritten_structural
KLXY,SOW,DOWN,ENTRY,2024-08-06,151,kapman_v0_handwritten_structural
KLXY,SPRING,UP,ENTRY,2025-06-25,372,kapman_v0_handwritten_structural
KLXY,SC,NA,IGNORE,2025-08-04,399,kapman_v0_handwritten_structural
KLXY,AR,NA,IGNORE,2025-08-12,405,kapman_v0_handwritten_structural
KLXY,BC,DOWN,ENTRY,2025-09-02,419,kapman_v0_handwritten_structural
KMB,SOW,DOWN,ENTRY,2024-03-14,52,kapman_v0_handwritten_structural
KMB,SPRING,UP,ENTRY,2024-04-19,77,kapman_v0_handwritten_structural
KMB,SC,NA,IGNORE,2024-05-31,106,kapman_v0_handwritten_structural
KMB,AR,NA,IGNORE,2024-06-04,108,kapman_v0_handwritten_structural
KMDA,SOS,UP,ENTRY,2025-02-10,279,kapman_v0_handwritten_structural
KMDA,BC,DOWN,ENTRY,2025-06-24,371,kapman_v0_handwritten_structural
KMI,SOW,DOWN,ENTRY,2024-03-14,52,kapman_v0_handwritten_structural
KMI,SPRING,UP,ENTRY,2024-10-10,197,kapman_v0_handwritten_structural
KMI,BC,DOWN,ENTRY,2024-11-06,216,kapman_v0_handwritten_structural
KMI,SOS,UP,ENTRY,2024-11-25,229,kapman_v0_handwritten_structural
KMI,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KMI,AR,NA,IGNORE,2025-04-11,322,kapman_v0_handwritten_structural
KMLM,BC,DOWN,ENTRY,2024-04-01,63,kapman_v0_handwritten_structural
KMLM,SOS,UP,ENTRY,2024-04-10,70,kapman_v0_handwritten_structural
KMLM,SC,NA,IGNORE,2025-08-25,414,kapman_v0_handwritten_structural
KMPR,BC,DOWN,ENTRY,2025-03-14,302,kapman_v0_handwritten_structural
KMPR,SC,NA,IGNORE,2025-11-06,466,kapman_v0_handwritten_structural
KMT,BC,DOWN,ENTRY,2024-11-06,216,kapman_v0_handwritten_structural
KMT,SC,NA,IGNORE,2025-08-06,401,kapman_v0_handwritten_structural
KMX,SOS,UP,ENTRY,2024-03-21,57,kapman_v0_handwritten_structural
KMX,BC,DOWN,ENTRY,2025-06-20,369,kapman_v0_handwritten_structural
KMX,SC,NA,IGNORE,2025-09-25,436,kapman_v0_handwritten_structural
KMX,AR,NA,IGNORE,2025-10-21,454,kapman_v0_handwritten_structural
KMX,SOW,DOWN,ENTRY,2025-11-06,466,kapman_v0_handwritten_structural
KN,SPRING,UP,ENTRY,2024-02-08,28,kapman_v0_handwritten_structural
KN,SC,NA,IGNORE,2025-02-14,283,kapman_v0_handwritten_structural
KN,AR,NA,IGNORE,2025-02-18,284,kapman_v0_handwritten_structural
KN,SOW,DOWN,ENTRY,2025-04-07,318,kapman_v0_handwritten_structural
KN,BC,DOWN,ENTRY,2025-10-23,456,kapman_v0_handwritten_structural
KNCT,SC,NA,IGNORE,2025-04-07,318,kapman_v0_handwritten_structural
KNCT,AR,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KNDI,SOS,UP,ENTRY,2024-03-12,50,kapman_v0_handwritten_structural
KNDI,BC,DOWN,ENTRY,2025-03-06,296,kapman_v0_handwritten_structural
KNF,BC,DOWN,ENTRY,2025-11-05,465,kapman_v0_handwritten_structural
KNGZ,SOS,UP,ENTRY,2024-10-14,199,kapman_v0_handwritten_structural
